,precision,recall,f1-score,support
Pepper__bell___Bacterial_spot,0.8794326241134752,0.8211920529801324,0.8493150684931506,151.0
Pepper__bell___healthy,0.905982905982906,0.9506726457399103,0.9277899343544858,223.0
Potato___Early_blight,0.9342105263157895,0.9466666666666667,0.9403973509933775,150.0
Potato___Late_blight,0.8648648648648649,0.8533333333333334,0.8590604026845637,150.0
Potato___healthy,0.875,0.5833333333333334,0.7,24.0
Tomato_Bacterial_spot,0.681265206812652,0.875,0.7660738714090287,320.0
Tomato_Early_blight,0.6415094339622641,0.22666666666666666,0.33497536945812806,150.0
Tomato_Late_blight,0.8433734939759037,0.7317073170731707,0.7835820895522388,287.0
Tomato_Leaf_Mold,0.6870748299319728,0.7013888888888888,0.6941580756013745,144.0
Tomato_Septoria_leaf_spot,0.7109634551495017,0.8014981273408239,0.7535211267605634,267.0
Tomato_Spider_mites_Two_spotted_spider_mite,0.7039473684210527,0.8492063492063492,0.7697841726618705,252.0
Tomato__Target_Spot,0.6582278481012658,0.49056603773584906,0.5621621621621622,212.0
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9533898305084746,0.9336099585062241,0.9433962264150944,482.0
Tomato__Tomato_mosaic_virus,1.0,0.08771929824561403,0.16129032258064516,57.0
Tomato_healthy,0.7358490566037735,0.975,0.8387096774193549,240.0
accuracy,0.7931810871662914,0.7931810871662914,0.7931810871662914,0.7931810871662914
macro avg,0.8050060963162599,0.7218373783811309,0.7256143900364026,3109.0
weighted avg,0.7979453289040138,0.7931810871662914,0.7789173829034942,3109.0
